RK,TEAM,ATT,YDS,AVG,LNG,TD,ATT,YDS,AVG,LNG,TD,FC,
1,NY Giants,35,848,24.2,51,0,27,159,5.9,21,0,9,
2,LA Rams,34,744,21.9,40,0,24,272,11.3,60,0,11,
3,Kansas City,30,731,24.4,97,0,19,245,12.9,91,1,2,
4,San Francisco,27,713,26.4,90,0,25,124,5.0,23,0,16,
5,Cleveland,34,684,20.1,31,0,24,204,8.5,33,0,20,
6,Miami,26,681,26.2,102,1,19,248,13.1,71,1,12,
7,NY Jets,27,675,25.0,59,0,20,290,14.5,78,1,24,
8,New England,23,661,28.7,95,1,18,127,7.1,24,0,12,
9,Cincinnati,26,618,23.8,51,0,17,206,12.1,38,0,14,
10,Philadelphia,26,577,22.2,48,0,29,181,6.2,42,0,6,
11,Buffalo,25,561,22.4,49,0,23,171,7.4,31,0,11,
12,Seattle,23,553,24.0,84,0,19,105,5.5,19,0,14,
13,Tennessee,15,522,34.8,94,1,20,191,9.6,38,0,10,
14,Arizona,23,501,21.8,36,0,22,171,7.8,44,0,17,
15,Baltimore,22,493,22.4,39,0,31,332,10.7,70,1,21,
16,Atlanta,20,483,24.2,53,0,15,86,5.7,18,0,14,
17,LA Chargers,21,478,22.8,40,0,29,325,11.2,73,1,10,
18,Pittsburgh,24,463,19.3,35,0,25,204,8.2,23,0,19,
19,New Orleans,19,434,22.8,47,0,18,97,5.4,16,0,13,
20,Green Bay,21,431,20.5,30,0,25,198,7.9,24,0,15,
21,Oakland,19,421,22.2,31,0,20,163,8.2,49,0,13,
22,Jacksonville,21,417,19.9,47,0,22,187,8.5,25,0,13,
23,Detroit,17,413,24.3,45,0,16,108,6.8,16,0,12,
24,Minnesota,16,400,25.0,46,0,22,187,8.5,24,0,13,
25,Washington,21,398,19.0,44,0,10,81,8.1,30,0,16,
26,Carolina,19,397,20.9,32,0,20,142,7.1,30,0,9,
27,Tampa Bay,20,337,16.9,29,0,22,132,6.0,16,0,11,
Â ,Houston,14,337,24.1,36,0,26,228,8.8,27,0,10,
29,Denver,16,327,20.4,32,0,23,109,4.7,15,0,9,
30,Chicago,16,293,18.3,31,0,28,337,12.0,42,0,12,
31,Indianapolis,13,248,19.1,28,0,15,167,11.1,51,0,20,
32,Dallas,7,166,23.7,35,0,17,90,5.3,22,0,19,
